Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP31610063,2,-1,14,0,0,5,5,6,2,1,,12,12,5,6,16,9,1,35.0,0,2015.0,134,365,39.00017983,-77.076875,17:05:00,Thursday,2023-12-14
MCP2730002T,2,-1,1,0,0,4,4,-1,0,1,,7,12,1,1,11,6,4,25.0,0,2018.0,13,92,39.18592554,-77.27684838,14:45:00,Tuesday,2022-05-17
MCP2622002Q,1,-1,16,0,0,3,5,6,0,1,,7,12,1,4,4,9,4,35.0,0,2018.0,16,409,39.0842394,-76.9515908,06:08:00,Saturday,2021-07-31
EJ7826000Q,1,-1,4,-1,0,4,5,-1,2,1,,7,12,2,3,11,6,1,30.0,0,1997.0,6,43,39.14430696,-77.19318151,12:39:00,Monday,2015-05-18
MCP3027000P,2,-1,9,0,0,4,5,6,0,1,,7,12,5,9,11,20,1,45.0,0,2016.0,59,328,39.03601667,-77.00022833,06:30:00,Monday,2017-06-12
MCP09610011,2,-1,4,0,0,4,5,6,2,1,,7,12,1,6,11,6,1,40.0,0,2010.0,154,34,39.161235,-77.22284167,08:47:00,Friday,2018-05-25
MCP2940005G,2,-1,7,1,0,4,5,6,2,1,,7,12,2,3,0,7,2,35.0,0,2014.0,45,141,38.97732183,-77.09091883,13:45:00,Monday,2021-12-27
MCP2881005K,2,-1,14,0,0,4,5,6,0,1,,7,12,2,13,18,0,1,40.0,0,2020.0,37,82,39.184005,-77.26326833,06:30:00,Thursday,2023-06-01
MCP3024000Y,1,-1,4,0,0,1,5,-1,2,1,,7,12,1,12,11,6,1,40.0,0,2013.0,46,37,39.22301833,-77.26051833,21:26:00,Thursday,2017-12-21
MCP3003002H,1,-1,9,0,0,4,1,6,0,3,,7,12,5,9,11,17,0,35.0,0,2015.0,140,338,39.00652333,-77.19112833,08:09:00,Wednesday,2018-09-26
MCP2908000S,2,-1,15,1,-1,4,1,6,2,1,,5,12,3,9,16,1,0,5.0,0,2007.0,134,82,39.02737667,-76.98765333,11:23:00,Wednesday,2015-01-14
MCP3089003B,2,-1,7,-1,-1,1,-1,-1,0,1,,7,12,2,8,18,12,-1,0.0,1,2013.0,35,81,38.99339333,-77.02994667,19:40:00,Thursday,2020-10-01
